,Unnamed: 0,title,author,avg_rate,number_of_ratings,link,plot_summary,tags,reviews
192,194,The Red Badge of Courage,Stephen Crane,3.27,96570.0,/book/show/35220.The_Red_Badge_of_Courage,"The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does change- in painful, devastating ways.What its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. The Bluest Eye remains one of Toni Morrisons's most powerful, unforgettable novels- and a significant work of American fiction.","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'War', 'Literature', 'Military History', 'Civil War', 'Historical', 'Academic', 'School', 'Young Adult', 'Literature', 'American']",3691.0
193,195,The Bluest Eye,Toni Morrison,4.08,188323.0,/book/show/11337.The_Bluest_Eye,"How do you outwit a Twit? Mr. and Mrs. Twit are the smelliest, ugliest people in the world. They hate everything -- except playing mean jokes on each other, catching innocent birds to put in their Bird Pies, and making their caged monkeys, the Muggle-Wumps, stand on their heads all day. But the Muggle-Wumps have had enough. They don't just want out, they want revenge.","['Fiction', 'Classics', 'Historical', 'Historical Fiction', 'Cultural', 'African American', 'Race', 'Literature', 'Novels', 'Literary Fiction', 'Academic', 'School', 'Literature', 'American']",10423.0
194,196,The Twits,Roald Dahl,3.97,124904.0,/book/show/31456.The_Twits,"Last night I dreamt I went to Manderley again . . .The novel begins in Monte Carlo, where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage. Orphaned and working as a lady's maid, she can barely believe her luck. It is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their lives--presenting her with a lingering evil that threatens to destroy their marriage from beyond the grave.","['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Childrens', 'Middle Grade', 'Humor', 'Young Adult', 'European Literature', 'British Literature', 'Novels', 'Childrens', 'Juvenile']",3974.0
195,197,Rebecca,Daphne du Maurier,4.23,492316.0,/book/show/17899948-rebecca,"A Lesson Before Dying is set in a small Cajun community in the late 1940s. Jefferson, a young black man, is an unwitting party to a liquor store shoot out in which three men are killed; the only survivor, he is convicted of murder and sentenced to death. Grant Wiggins, who left his hometown for the university, has returned to the plantation school to teach. As he struggles with his decision whether to stay or escape to another state, his aunt and Jefferson's godmother persuade him to visit Jefferson in his cell and impart his learning and his pride to Jefferson before his death. In the end, the two men forge a bond as they both come to understand the simple heroism of resisting and defying the expected. Ernest J. Gaines brings to this novel the same rich sense of place, the same deep understanding of the human psyche, and the same compassion for a people and their struggle that have informed his previous, highly praised works of fiction.","['Classics', 'Fiction', 'Mystery', 'Gothic', 'Romance', 'Historical', 'Historical Fiction', 'Thriller', 'Suspense', 'Thriller', 'Mystery Thriller', 'Horror']",27321.0
196,198,A Lesson Before Dying,Ernest J. Gaines,3.96,52569.0,/book/show/5197.A_Lesson_Before_Dying,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.","['Fiction', 'Historical', 'Historical Fiction', 'Classics', 'Cultural', 'African American', 'Academic', 'School', 'Literature', 'Adult Fiction', 'Literary Fiction', 'Novels', 'Historical']",3505.0
197,200,Spoon River Anthology,Edgar Lee Masters,4.05,9847.0,/book/show/753028.Spoon_River_Anthology,"In Spoon River Anthology, the American poet Edgar Lee Masters (1869–1950) created a series of compelling free-verse monologues in which former citizens of a mythical Midwestern town speak touchingly from the grave of the thwarted hopes and dream of their lives. First published in book form in 1915, the Anthology was the crowning achievement of Masters' career as a poet, and a work that would become a landmark of 20th-century American literature. In these pages, no less than 214 individual voices are heard — some in no more than a dozen moving lines. Alternately plaintive, anguished, enigmatic, angry, and contemptuous, the voices of Spoon River, although distinctively small-town Americans, evoke themes of love and hope, disappointment and despair that are universal in their resonance. This American classic is reprinted here from the authoritative 1915 edition.","['Poetry', 'Classics', 'Fiction', 'Literature', 'American', 'Americana', 'Literature', 'American', 'Historical', 'Historical Fiction', 'Plays', 'The United States Of America', 'Short Stories']",747.0
198,201,Dubliners,James Joyce,3.85,128379.0,/book/show/11012.Dubliners,"This work of art reflects life in Ireland at the turn of the last century, and by rejecting euphemism, reveals to the Irish their unromantic realities. Each of the 15 stories offers glimpses into the lives of ordinary Dubliners, and collectively they paint a portrait of a nation.","['Classics', 'Fiction', 'Short Stories', 'Cultural', 'Ireland', 'Literature', 'European Literature', 'Irish Literature', 'Literature', 'Academic', 'School', 'Historical', 'Historical Fiction', 'Literary Fiction']",6235.0
199,202,"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.91,2791911.0,/book/show/960.Angels_Demons,"World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, and deserted cathedrals, and into the depths of the most secretive vault on earth...the long-forgotten Illuminati lair.(back cover)","['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Thriller', 'Mystery Thriller', 'Adventure', 'Mystery', 'Crime', 'Historical', 'Historical Fiction', 'Novels', 'Adult']",29927.0
200,203,"Mary Poppins (Mary Poppins, #1)",P.L. Travers,4.02,119471.0,/book/show/152380.Mary_Poppins,"By P.L. Travers, the author featured in the major motion picture, Saving Mr. Banks. From the moment Mary Poppins arrives at Number Seventeen Cherry-Tree Lane, everyday life at the Banks house is forever changed. It all starts when Mary Poppins is blown by the east wind onto the doorstep of the Banks house. She becomes a most unusual nanny to Jane, Michael, and the twins. Who else but Mary Poppins can slide up banisters, pull an entire armchair out of an empty carpetbag, and make a dose of medicine taste like delicious lime-juice cordial? A day with Mary Poppins is a day of magic and make-believe come to life!","['Classics', 'Fantasy', 'Childrens', 'Fiction', 'Childrens', 'Middle Grade', 'Audiobook', 'Young Adult', 'Childrens', 'Juvenile', 'Fantasy', 'Magic', 'Adventure']",5760.0
201,204,"Wonder (Wonder, #1)",R.J. Palacio,4.42,808573.0,/book/show/23302416-wonder,"Alternative Cover Edition ISBN: 9780552565974You can't blend in when you were born to stand out.My name is August. I won't describe what I look like. Whatever you're thinking, it's probably worse.August Pullman wants to be an ordinary ten-year-old. He does ordinary things. He eats ice cream. He plays on his Xbox. He feels ordinary - inside.But Auggie is far from ordinary. Ordinary kids don't make other ordinary kids run away screaming in playgrounds. Ordinary kids don't get stared at wherever they go.Born with a terrible facial abnormality, Auggie has been home-schooled by his parents his whole life, in an attempt to protect him from the cruelty of the outside world. Now, for the first time, he's being sent to a real school - and he's dreading it. All he wants is to be accepted - but can he convince his new classmates that he's just like them, underneath it all?Narrated by Auggie and the people around him whose lives he touches forever, Wonder is a funny, frank, astonishingly moving debut to read in one sitting, pass on to others, and remember long after the final page.","['Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'Academic', 'School', 'Family', 'Young Adult', 'Coming Of Age', 'Childrens', 'Juvenile']",68060.0
202,205,Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe,3.68,258451.0,/book/show/2932.Robinson_Crusoe,"Daniel Defoe relates the tale of an English sailor marooned on a desert island for nearly three decades. An ordinary man struggling to survive in extraordinary circumstances, Robinson Crusoe wrestles with fate and the nature of God. This edition features maps.","['Classics', 'Fiction', 'Adventure', 'Literature', 'Historical', 'Historical Fiction', 'Novels', 'Classics', 'Classic Literature', 'Literature', 'Academic', 'School', 'European Literature', 'British Literature']",7147.0
203,206,The Devil's Arithmetic,Jane Yolen,4.01,55414.0,/book/show/1033828.The_Devil_s_Arithmetic,"A triumphantly moving book. --Kirkus Reviews, starred reviewHannah dreads going to her family's Passover Seder--she's tired of hearing her relatives talk about the past. But when she opens the front door to symbolically welcome the prophet Elijah, she's transported to a Polish village in the year 1942. Why is she there, and who is this Chaya that everyone seems to think she is? Just as she begins to unravel the mystery, Nazi soldiers come to take everyone in the village away. And only Hannah knows the unspeakable horrors that await. A critically acclaimed novel from multi-award-winning author Jane Yolen. [Yolen] adds much to understanding the effects of the Holocaust, which will reverberate throughout history, today and tomorrow. --SLJ, starred review Readers will come away with a sense of tragic history that both disturbs and compels. --BooklistWinner of the National Jewish Book AwardAn American Bookseller Pick of the Lists","['Historical', 'Historical Fiction', 'Young Adult', 'World War II', 'Holocaust', 'Fiction', 'Historical', 'War', 'World War II', 'Science Fiction', 'Time Travel', 'Childrens', 'Middle Grade', 'Childrens', 'Fantasy']",2411.0
204,207,Z for Zachariah,Robert C. O'Brien,3.67,14267.0,/book/show/69477.Z_for_Zachariah,"Is anyone out there?  Ann Burden is sixteen years old and completely alone. The world as she once knew it is gone, ravaged by a nuclear war that has taken everyone from her. For the past year, she has lived in a remote valley with no evidence of any other survivors.  But the smoke from a distant campfire shatters Ann's solitude. Someone else is still alive and making his way toward the valley. Who is this man? What does he want? Can he be trusted? Both excited and terrified, Ann soon realizes there may be worse things than being the last person on Earth.","['Young Adult', 'Science Fiction', 'Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Apocalyptic', 'Adventure', 'Survival', 'Young Adult', 'Teen', 'Academic', 'School', 'Science Fiction Fantasy']",1663.0
205,208,"The Once and Future King (The Once and Future King, #1-4)",T.H. White,4.04,106062.0,/book/show/43545.The_Once_and_Future_King,"T.H White′s masterful retelling of the Arthurian legend is an abiding classic. Here all five volumes that make up the story are published in one volume, as White himself always wished. Exquisite comedy offsets the tragedy of Arthur′s personal doom as White brings to life the major British epic of all time with brilliance, grandeur, warmth and charm.","['Fantasy', 'Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Mythology', 'Arthurian', 'Fantasy', 'Mythology', 'Young Adult', 'Science Fiction Fantasy', 'Adventure', 'Literature']",4170.0
206,209,Go Ask Alice,Beatrice Sparks,3.76,244368.0,/book/show/46799.Go_Ask_Alice,"It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.
Read her diary. Enter her world. You will never forget her.
","['Young Adult', 'Fiction', 'Classics', 'Contemporary', 'Realistic Fiction', 'Young Adult', 'Teen', 'Health', 'Mental Health', 'Literature', 'Banned Books', 'Young Adult', 'Coming Of Age', 'Psychology']",11005.0
207,210,A Modest Proposal,Jonathan Swift,4.03,41582.0,/book/show/5206937-a-modest-proposal,"On a winter night in 1964, Dr. David Henry is forced by a blizzard to deliver his own twins. His son, born first, is perfectly healthy. Yet when his daughter is born, he sees immediately that she has Down's Syndrome. Rationalizing it as a need to protect Norah, his wife, he makes a split-second decision that will alter all of their lives forever. He asks his nurse to take the baby away to an institution and never to reveal the secret. But Caroline, the nurse, cannot leave the infant. Instead, she disappears into another city to raise the child herself. So begins this story that unfolds over a quarter of a century - in which these two families, ignorant of each other, are yet bound by the fateful decision made that long-ago winter night. Norah Henry, who knows only that her daughter died at birth, remains inconsolable; her grief weighs heavily on their marriage. And Paul, their son, raises himself as best he can, in a house grown cold with mourning. Meanwhile, Phoebe, the lost daughter, grows from a sunny child to a vibrant young woman whose mother loves her as fiercely as if she were her own.","['Classics', 'Fiction', 'Humor', 'Writing', 'Essays', 'Short Stories', 'Academic', 'School', 'Philosophy', 'Literature', 'Politics', 'Cultural', 'Ireland']",1322.0
208,211,The Memory Keeper's Daughter,Kim Edwards,3.68,572077.0,/book/show/10441.The_Memory_Keeper_s_Daughter,"By missing the end of the world, he had survived to witness a new world dominated by monstrous plants, the Triffids.","['Fiction', 'Contemporary', 'Adult Fiction', 'Adult', 'Historical', 'Historical Fiction', 'Book Club', 'Drama', 'Womens Fiction', 'Chick Lit', 'Novels', 'Family']",19541.0
209,212,The Day of the Triffids,John Wyndham,4.02,93513.0,/book/show/829460.The_Day_of_the_Triffids,"The revolutionary literary vision that sowed the seeds of Objectivism, Ayn Rand's groundbreaking philosophy, and brought her immediate worldwide acclaim.This modern classic is the story of intransigent young architect Howard Roark, whose integrity was as unyielding as granite...of Dominique Francon, the exquisitely beautiful woman who loved Roark passionately, but married his worst enemy...and of the fanatic denunciation unleashed by an enraged society against a great creator. As fresh today as it was then, Rand’s provocative novel presents one of the most challenging ideas in all of fiction—that man’s ego is the fountainhead of human progress...“A writer of great power. She has a subtle and ingenious mind and the capacity of writing brilliantly, beautifully, bitterly...This is the only novel of ideas written by an American woman that I can recall.”—The New York Times","['Science Fiction', 'Fiction', 'Classics', 'Horror', 'Apocalyptic', 'Post Apocalyptic', 'Science Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Apocalyptic', 'Science Fiction Fantasy', 'Novels']",3677.0
210,213,The Fountainhead,Ayn Rand,3.87,303271.0,/book/show/2122.The_Fountainhead,"A riveting memoir of a girl's painful coming-of-age in a wealthy Chinese family during the 1940s.A Chinese proverb says, ""Falling leaves return to their roots."" In Chinese Cinderella, Adeline Yen Mah returns to her roots to tell the story of her painful childhood and her ultimate triumph and courage in the face of despair. Adeline's affluent, powerful family considers her bad luck after her mother dies giving birth to her. Life does not get any easier when her father remarries. She and her siblings are subjected to the disdain of her stepmother, while her stepbrother and stepsister are spoiled. Although Adeline wins prizes at school, they are not enough to compensate for what she really yearns for -- the love and understanding of her family.Following the success of the critically acclaimed adult bestseller Falling Leaves, this memoir is a moving telling of the classic Cinderella story, with Adeline Yen Mah providing her own courageous voice.","['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Politics', 'Architecture', 'Literary Fiction', 'Literature', 'American', 'Classics', 'Classic Literature']",12490.0
211,214,Chinese Cinderella: The True Story of an Unwanted Daughter,Adeline Yen Mah,4.06,32212.0,/book/show/82751.Chinese_Cinderella,"Told with deadpan humour and bitter irony, Kurt Vonnegut's cult tale of global destruction preys on our deepest fears of witnessing Armageddon and, worse still, surviving it ...Dr Felix Hoenikker, one of the founding 'fathers' of the atomic bomb, has left a deadly legacy to the world. For he's the inventor of 'ice-nine', a lethal chemical capable of freezing the entire planet. The search for its whereabouts leads to Hoenikker's three ecentric children, to a crazed dictator in the Caribbean, to madness. Felix Hoenikker's Death Wish comes true when his last, fatal gift to humankind brings about the end, that for all of us, is nigh...","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Cultural', 'China', 'Biography', 'Autobiography', 'Academic', 'School', 'Historical', 'History', 'Biography Memoir', 'Cultural', 'Asia']",2851.0
212,215,Cat's Cradle,Kurt Vonnegut Jr.,4.16,349884.0,/book/show/135479.Cat_s_Cradle,"More than just a classic political novel, Warren’s tale of power and corruption in the Depression-era South is a sustained meditation on the unforeseen consequences of every human act, the vexing connectedness of all people and the possibility—it’s not much of one—of goodness in a sinful world. Willie Stark, Warren’s lightly disguised version of Huey Long, the one time Louisiana strongman/governor, begins as a genuine tribune of the people and ends as a murderous populist demagogue. Jack Burden is his press agent, who carries out the boss’s orders, first without objection, then in the face of his own increasingly troubled conscience. And the politics? For Warren, that’s simply the arena most likely to prove that man is a fallen creature. Which it does.","['Fiction', 'Classics', 'Science Fiction', 'Humor', 'Literature', 'Novels', 'Science Fiction', 'Dystopia', 'Literature', 'American', 'Fantasy', 'Literature']",11414.0
213,216,All the King's Men,Robert Penn Warren,4.06,60590.0,/book/show/5527.All_the_King_s_Men,"In this companion volume to A Wrinkle In Time (Newbery Award winner) and A Wind In The Door fifteen-year-old Charles Wallace and the unicorn Gaudior undertake a perilous journey through time in a desperate attempt to stop the destruction of the world by the mad dictator Madog Branzillo. They are not alone in their quest. Charles Wallace's sister, Meg - grown and expecting her first child, but still able to enter her brother's thoughts and emotions by ""kything"" - goes with him in spirit.","['Fiction', 'Classics', 'Historical', 'Historical Fiction', 'Politics', 'Literature', 'Novels', 'Literature', 'American', 'Literary Fiction', 'American', 'Southern', 'Historical']",2698.0
214,217,"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,4.08,106066.0,/book/show/77276.A_Swiftly_Tilting_Planet,"When Nicki drops his white mitten in the snow, he goes on without realizing that it is missing.One by one, woodland animals find it and crawl in; first, a curious mole, then a rabbit, a badger and others, each one larger than the last. Finally, a big brown bear is followed in by a tiny brown mouse and what happens next makes for a wonderfully funny climax.As the story of the animals in the mitten unfolds, the reader can see Nicki in the boarders of each page, walking through the woods unaware of what is going on.Once again Jan Brett has created a dramatic and beautiful picture book in her distinctive style. She brings the animals to life with warmth and humor, and her illustrations are full of visual delights and details faithful to the Ukrainian tradition from which the story comes.","['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Childrens', 'Classics', 'Science Fiction Fantasy', 'Childrens', 'Middle Grade', 'Science Fiction', 'Time Travel', 'Adventure']",2457.0
215,218,The Mitten,Jan Brett,4.25,87450.0,/book/show/967494.The_Mitten,"Ramsay is a man twice born, a man who has returned from the hell of the battle-grave at Passchendaele in World War I decorated with the Victoria Cross and destined to be caught in a no man's land where memory, history, and myth collide. As Ramsay tells his story, it begins to seem that from boyhood, he has exerted a perhaps mystical, perhaps pernicious, influence on those around him. His apparently innocent involvement in such innocuous events as the throwing of a snowball or the teaching of card tricks to a small boy in the end prove neither innocent nor innocuous. Fifth Business stands alone as a remarkable story told by a rational man who discovers that the marvelous is only another aspect of the real.","['Childrens', 'Picture Books', 'Childrens', 'Animals', 'Fiction', 'Holiday', 'Christmas', 'Classics', 'Folklore', 'Childrens', 'Storytime', 'Fantasy', 'Kids']",1464.0
216,219,"Fifth Business (The Deptford Trilogy, #1)",Robertson Davies,4.06,17245.0,/book/show/74406.Fifth_Business,"At first, Omri is unimpressed with the plastic Indian toy he is given for his birthday. But when he puts it in his old cupboard and turns the key, something extraordinary happens that will change Omri's life for ever. For Little Bear, the Iroquois Indian brave, comes to life...","['Fiction', 'Cultural', 'Canada', 'Classics', 'Historical', 'Historical Fiction', 'Literature', 'Literary Fiction', 'Novels', 'Literature', 'Canadian Literature', 'Academic', 'School', 'Historical']",1134.0
217,220,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,3.91,100047.0,/book/show/125404.The_Indian_in_the_Cupboard,"Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different, and far more satisfying, listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.","['Fantasy', 'Childrens', 'Fiction', 'Young Adult', 'Classics', 'Childrens', 'Middle Grade', 'Childrens', 'Juvenile', 'Adventure', 'Childrens', 'Chapter Books', 'Academic', 'School']",2385.0
218,221,The Alchemist,Paulo Coelho,3.88,2263573.0,/book/show/865.The_Alchemist,"A gripping tale of human unrelieved horror, of survival and resilience, and of the ways in which humankind confronts death, The Plague is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents, unheeded by the people. It gradually becomes an omnipresent reality, obliterating all traces of the past and driving its victims to almost unearthly extremes of suffering, madness, and compassion.","['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Adventure', 'Inspirational']",86489.0
219,222,The Plague,Albert Camus,4.01,189731.0,/book/show/11989.The_Plague,"In the four most bloody and courageous days of our nation's history, two armies fought for two dreams. One dreamed of freedom, the other of a way of life. Far more than rifles and bullets were carried into battle. There were memories. There were promises. There was love. And far more than men fell on those Pennsylvania fields. Shattered futures, forgotten innocence, and crippled beauty were also the casualties of war. The Killer Angels is unique, sweeping, unforgettable—a dramatic re-creation of the battleground for America's destiny.","['Fiction', 'Classics', 'Philosophy', 'Cultural', 'France', 'Literature', 'European Literature', 'French Literature', 'Novels', 'Literature', 'Literary Fiction', 'Cultural', 'Africa']",9438.0
220,223,"The Killer Angels (The Civil War Trilogy, #2)",Michael Shaara,4.31,77505.0,/book/show/682804.The_Killer_Angels,"Fifth century Britain is a country of chaos and division after the Roman withdrawal. This is the world of young Merlin, the illegitimate child of a South Wales princess who will not reveal to her son his father's true identity. Yet Merlin is an extraordinary child, aware at the earliest age that he possesses a great natural gift - the Sight. Against a background of invasion and imprisonment, wars and conquest, Merlin emerges into manhood, and accepts his dramatic role in the New Beginning - the coming of King Arthur.","['Historical', 'Historical Fiction', 'Fiction', 'Military History', 'Civil War', 'War', 'Historical', 'War', 'Military Fiction', 'Classics', 'North American Hi...', 'American History', 'American History', 'American Civil War', 'Academic', 'School']",4894.0
221,224,"The Crystal Cave (Arthurian Saga, #1)",Mary  Stewart,4.13,42620.0,/book/show/82192.The_Crystal_Cave,"Candide is the story of a gentle man who, though pummeled and slapped in every direction by fate, clings desperately to the belief that he lives in ""the best of all possible worlds."" On the surface a witty, bantering tale, this eighteenth-century classic is actually a savage, satiric thrust at the philosophical optimism that proclaims that all disaster and human suffering is part of a benevolent cosmic plan. Fast, funny, often outrageous, the French philosopher's immortal narrative takes Candide around the world to discover that -- contrary to the teachings of his distinguished tutor Dr. Pangloss -- all is not always for the best. Alive with wit, brilliance, and graceful storytelling, Candide has become Voltaire's most celebrated work.","['Fantasy', 'Historical', 'Historical Fiction', 'Fiction', 'Mythology', 'Arthurian', 'Historical', 'Fantasy', 'Mythology', 'Science Fiction Fantasy', 'Classics', 'Fantasy', 'Magic', 'Adventure']",1764.0
222,225,Candide,Voltaire,3.77,230484.0,/book/show/19380.Candide,"An alternate cover edition for ISBN 9780375826696 can be found here.One boy...One dragon...A world of adventure. When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself. Overnight his simple life is shattered, and he is thrust into a perilous new world of destiny, magic, and power. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds. Can Eragon take up the mantle of the legendary Dragon Riders? The fate of the Empire may rest in his hands.","['Classics', 'Fiction', 'Philosophy', 'Cultural', 'France', 'Literature', 'Humor', 'European Literature', 'French Literature', 'Academic', 'School', 'Literature', 'Novels']",8305.0
223,226,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.91,1505017.0,/book/show/113436.Eragon,"The first installment of the Pulitzer Prize-winning graphic novel acclaimed as “the most affecting and successful narrative ever done about the Holocaust” (Wall Street Journal) and “the first masterpiece in comic book history” (The New Yorker).A brutally moving work of art—widely hailed as the greatest graphic novel ever written—Maus recounts the chilling experiences of the author’s father during the Holocaust, with Jews drawn as wide-eyed mice and Nazis as menacing cats.Maus is a haunting tale within a tale, weaving the author’s account of his tortured relationship with his aging father into an astonishing retelling of one of history's most unspeakable tragedies. It is an unforgettable story of survival and a disarming look at the legacy of trauma.","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Dragons', 'Adventure', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Childrens']",22982.0
224,227,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,4.34,264184.0,/book/show/15196.Maus_I,"A celebration of nonconformity; a tense, emotional tale about the fleeting, cruel nature of popularity--and the thrill and inspiration of first love. Ages 12+Leo Borlock follows the unspoken rule at Mica Area High School: don't stand out--under any circumstances! Then Stargirl arrives at Mica High and everything changes--for Leo and for the entire school. After 15 years of home schooling, Stargirl bursts into tenth grade in an explosion of color and a clatter of ukulele music, enchanting the Mica student body.But the delicate scales of popularity suddenly shift, and Stargirl is shunned for everything that makes her different. Somewhere in the midst of Stargirl's arrival and rise and fall, normal Leo Borlock has tumbled into love with her.In a celebration of nonconformity, Jerry Spinelli weaves a tense, emotional tale about the fleeting, cruel nature of popularity--and the thrill and inspiration of first love.","['Sequential Art', 'Graphic Novels', 'Sequential Art', 'Comics', 'History', 'Nonfiction', 'Autobiography', 'Memoir', 'World War II', 'Holocaust', 'Biography', 'Historical', 'War', 'Graphic Novels Comics']",6359.0
225,228,"Stargirl (Stargirl, #1)",Jerry Spinelli,3.76,307920.0,/book/show/22232.Stargirl,"Jerry Renault ponders the question on the poster in his locker: Do I dare disturb the universe? Refusing to sell chocolates in the annual Trinity school fund-raiser may not seem like a radical thing to do. But when Jerry challenges a secret school society called The Vigils, his defiant act turns into an all-out war. Now the only question is: Who will survive? First published in 1974, Robert Cormier's groundbreaking novel, an unflinching portrait of corruption and cruelty, has become a modern classic.A New York Times Outstanding Book of the YearAn ALA Best Book for Young AdultsA School Library Journal Best Book of the Year","['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Romance', 'Childrens', 'Middle Grade', 'Childrens', 'Young Adult', 'Teen', 'Academic', 'School', 'Young Adult', 'Coming Of Age']",14965.0
226,229,"The Chocolate War (Chocolate War, #1)",Robert Cormier,3.49,43657.0,/book/show/17162.The_Chocolate_War,"This extraordinary historical novel, set in Medieval Paris under the twin towers of its greatest structure and supreme symbol, the cathedral of Notre-Dame, is the haunting drama of Quasimodo, the hunchback; Esmeralda, the gypsy dancer; and Claude Frollo, the priest tortured by the specter of his own damnation. Shaped by a profound sense of tragic irony, it is a work that gives full play to Victor Hugo's brilliant historical imagination and his remarkable powers of description.","['Young Adult', 'Fiction', 'Classics', 'Realistic Fiction', 'Literature', 'Banned Books', 'Young Adult', 'Teen', 'Academic', 'School', 'Young Adult', 'Coming Of Age', 'Contemporary', 'Young Adult', 'High School']",3144.0
227,230,The Hunchback of Notre-Dame,Victor Hugo,3.99,178432.0,/book/show/30597.The_Hunchback_of_Notre_Dame,"Pilkey plays with words and pictures, providing great entertainment. The story is immediately engaging—two fourth-grade boys who write comic books and love to pull pranks find themselves in big trouble. Mean Mr. Krupp, their principal, videotapes George and Harold setting up their stunts and threatens to expose them. The boys' luck changes when they send for a 3-D Hypno-Ring and hypnotize Krupp, turning him into Captain Underpants, their own superhero creation. Later, Pilkey includes several pages of flip-o-ramas that animate the action. The simple black-and-white illustrations on every page furnish comic-strip appeal. The cover features Captain Underpants, resplendent in white briefs, on top of a tall building. This book will fly off the shelves.","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'France', 'Literature', 'European Literature', 'French Literature', 'Gothic', 'Historical', 'Romance', 'Novels']",5343.0
